category,rating,label,text_,user_id,date,translated_text
Home_and_Kitchen_5,4.0,0,Good product. Setup was a little difficult. Sound is very tinny.,746,2022-01-03,İyi ürün. Kurulum biraz zordu. Ses çok teneke gibi.
Electronics_5,5.0,1,"Great but I wish the book had been longer.  I will keep reading it.Very good.I read this book in the middle of the night, and it was great.  The story was well told and the characters were strong.  I would recommend this to everyone.I loved this book.  I love the book, I love the characters, I love the",9239,2022-11-30,"Harika ama keşke kitabın daha uzun olsaydı.  Okumaya devam edeceğim. Çok iyi.Bu kitabı gecenin ortasında okudum ve harikaydı.  Hikaye iyi anlatıldı ve karakterler güçlüydü.  Bunu herkese tavsiye ederim, bu kitabı sevdim.  Kitabı seviyorum, karakterleri seviyorum, seviyorum"
Toys_and_Games_5,5.0,0,"Con-Tact paper has come a long way since my early apartment years.  Ths is pretty forgiving stuff - you can always peel it up after you don't get it placed just so. I surprised myself by selecting this bold pattern for older white cabinets. It's actually kind of elegant. I didn't bother matching up the pattern. It really was not possible [for me]. But the seams are not at all noticeable. Great stuff, good price.",6866,2022-11-16,"Con-Tact kağıdı, ilk apartman yıllarımdan bu yana çok yol kat etti.  THS oldukça affedici şeylerdir - buna yerleştirilmedikten sonra her zaman soyulabilirsiniz. Eski beyaz dolaplar için bu cesur deseni seçerek kendimi şaşırttım. Aslında biraz zarif. Deseni eşleştirmeye zahmet etmedim. [Benim için] gerçekten mümkün değildi. Ancak dikişler hiç fark edilmez. Harika şeyler, iyi fiyat."
Electronics_5,5.0,1,"These are great, looks, feel, and fit well.  I've worn them for a couple of hours.  The only thing is the",6306,2022-05-07,"Bunlar harika, görünüyor, hissediyor ve iyi uyuyor.  Onları birkaç saat giydim.  Tek şey"
Clothing_Shoes_and_Jewelry_5,4.0,0,"I liked both Taylor and Lucas. Lucas was a strong, honorable man from the west and Taylor was a fine lady who wasn't only what she appeared to be. I really enjoyed the story and felt there was a lot of action in this one. I was a bit annoyed by both Taylor's and Lucas's reluctance to confide in each other and their ridiculous resistance to the marriage, but I do understand it was expected due to their backgrounds. I wish we'd been able to meet Lucas's brothers. There was a nice little mention of the Emerald and Black Harry from the Crown's Spies Series. Overall, very nice story.",7418,2022-09-28,"Hem Taylor hem de Lucas'ı sevdim. Lucas batıdan güçlü, onurlu bir adamdı ve Taylor sadece göründüğü gibi olmayan iyi bir bayandı. Hikayeden gerçekten keyif aldım ve bu konuda çok fazla eylem olduğunu hissettim. Hem Taylor'ın hem de Lucas'ın birbirlerine güvenme isteksizliği ve evliliğe karşı gülünç dirençlerinden biraz rahatsız oldum, ancak geçmişlerinden dolayı beklendiğini anlıyorum. Keşke Lucas'ın kardeşlerle tanışabilseydik. Crown's Spies serisinden Emerald ve Black Harry'den hoş bir söz vardı. Genel olarak, çok güzel bir hikaye."
Movies_and_TV_5,5.0,0,"I love books that illuminate all that is good in life. The stories of the Lathem family will make you laugh, cry but hopefully leave you with a little of their magic.",9511,2022-04-07,"Hayatta iyi olan her şeyi aydınlatan kitapları seviyorum. Lathem ailesinin hikayeleri sizi güldürecek, ağlayacak ama umarım sizi biraz sihirleriyle bırakacak."
Electronics_5,4.0,1,"Really enjoyed this book! I loved the characters and the story.

I received this book from the author in exchange for an honest review.  The opinions expressed are my own.I enjoyed this book.  It was good, but it had some issues with the story.  The first one was a little predictable, the second one was a little more interesting.  I really liked the first book",7801,2022-04-03,"Bu kitaptan gerçekten keyif aldım! Karakterleri ve hikayeyi sevdim.

Bu kitabı dürüst bir inceleme karşılığında yazardan aldım.  İfade edilen görüşler benim. Bu kitaptan keyif aldım.  İyiydi, ama hikaye ile ilgili bazı sorunları vardı.  Birincisi biraz tahmin edilebilirdi, ikincisi biraz daha ilginçti.  İlk kitabı gerçekten beğendim"
Kindle_Store_5,5.0,0,"It's a ruler that lets you measure spokes, and it was cheap.",2824,2022-06-02,Konuşmaları ölçmenize izin veren bir cetvel ve ucuzdu.
Electronics_5,5.0,1,"Dude bro, holy crap!  Not a professional.  Not a professional.  Not a professional.  Not a professional.  I am a professional and have a wife.  I can't go wrong with this product.  I am very pleased.I bought this to replace a broken one I had.  I love the color and the fact that the hose is a little longer than I expected.",6053,2022-05-08,"Dostum kardeşim, kutsal saçmalık!  Bir profesyonel değil.  Bir profesyonel değil.  Bir profesyonel değil.  Bir profesyonel değil.  Ben bir profesyonelim ve bir eşim var.  Bu ürünle yanlış gidemem.  Çok memnunum. Bunu, sahip olduğum kırık olanı değiştirmek için aldım.  Rengi ve hortumun beklediğimden biraz daha uzun olması gerçeğini seviyorum."
Sports_and_Outdoors_5,3.0,0,"These have been my primary tennis shoes for about 3 months. The style is nice, but they just aren't going to work for me long term.

PROs:
- Great for plantar fascitiis
- Stylish
- Can remove insole and use custom orthotics.
- Great for walking

CONs:
- Expensive
- Odd sizing. I normally wear a size 8 or size 8W. These were too long in the toe area, but too narrow and rubbed my little toes.
- The sole isn't as thick as I'd like
- The arch in the orthotic insoles is a little too much for a low arch / flat feet plantar fascitiis.
- They were not comfortable for standing in for more than an hour.",103,2022-01-17,"Bunlar yaklaşık 3 aydır birincil tenis ayakkabılarım. Stil güzel, ama uzun vadede benim için işe yaramayacaklar.

Artıları:
- plantar fasitiis için harika
- Şık
- içi çıkarabilir ve özel ortez kullanabilir.
- Yürümek için harika

Eksileri:
- Masraflı
- Garip boyutlandırma. Normalde 8 veya beden 8W giyiyorum. Bunlar ayak parmağı alanında çok uzundu, ama çok dar ve küçük ayak parmaklarımı ovuşturdu.
- tek istediğim kadar kalın değil
- Ortotik tabandaki kemer düşük kemer / düz ayak plantar fasitiis için biraz fazla.
- Bir saatten fazla bir süredir durmak için rahat değillerdi."
Electronics_5,5.0,1,Arrived on time and as described. The only problem is that it comes with a small screw driver.,10793,2022-10-30,"Zamanında geldi ve açıklandığı gibi. Tek sorun, küçük bir vidalı tiyatro ile gelmesidir."
